A,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,MANUAL-ADD,MANUAL-ADD,MANUAL-ADD,MANUAL-ADD,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED,CALCULATED
1979-02-28,44.818695,107.32099,184.7074,233.44682,57.35903,646.6355,0,2163.6125,3828.8533,3578.8533,250,9618.79,0,2754.3801,9618.79,6864.4097,258.4723,849.2641,1097.3907,0,1097.3907,1094.441,107.03441,3783.1494,6147.98,1200,5455.359,3702.642,2129.4978,1200,1200,800,2754.3801,3250,0,3250,300,1309.0197,1255.7056,326.6903,2053.174,370.1626,3822.3635,2247.12,1575.2437,-3589.4644,-3589.4644,791.3533,31922.352,24742.182,24742.182,4589.1216,25552.236,28209.838,27765.686,22202.627,20169.498,12138.382,7638.3813,12519.388,12519.388,15460.977,13580.332,10475.701,10242.922,3270.574,2567.5571,7118.6284,6028.148,2764.611,1162.3436,175,282.98102,7031.5493,581.6607,499.43814,501.53793,503.30597,432.1,432.1,300,367.3637,2648.5374,286.1,3193.3977,1561.2603,102.91438,102.91438,5.770669,466.0466,184.26642,8.815959,114.45753,87.26189,28.442118,212.38045,0,43.028748,1130.6484,60.589695,0,60.589695,5045.2217,372.5354,27.44107,345.09433,433.1251,405.68402,49.99885,9062.5,0,0,0,97.66326,1973.1915,8.508582,0,2754.3801,2.9571848,21.418436,1.1300577,75.77989,0,0,434.93054,3822.0757,1674.3636,204.2444,1.9986607,1.5074495,17.04046,0,985.88275,9062.5,31647.354,22584.854,15667.938,9062.5,0.6725721,0.6725721,1,0.9225721,0.9225721,1,0.20865238,1,0.20865238,0,742.8322,0.2396817,-449.78082,-2118.0806,-701.4973,-664.9191,3,96.18846,1.33E-15,10.258838,0,1.33E-15,112.52772,0,1716.631,1716.631,0,6285.511,2360.8008,0.28375793,57.756702,48.2,114.75239,567,567,50.703144,674.6,1601.0325,1970,438.98502,360,439,683.8346,185.49771,2379.2986,25.6,2675.38,2675.38,1690,38.3,3693.9038,550,4139.5566,4552,2039,972,38,972,972,1067,42,1067,1067,1807.3866,240,2000,2447.65,654.22046,0,4,1,3,74.12853,967,524,3424.8,2420,9131.424,6679.8184,433.1251,5.770669,710.9027,432.3562,141.89859,10713.231,2039,10716.181,10487.606,8447.589,1173.6772,1884.5801,471.81726,184.26642,240.82257,627.6529
1979-03-31,52.685963,120.30326,208.35269,268.73853,66.47079,334.3595,0,283.94672,2296.249,2046.2489,250,5698.434,0,0,5698.434,5698.434,369.0482,283.66464,1029.4174,0,1029.4174,1026.6925,330.8349,2342.672,7494.941,1000,6118.8125,4644.678,1228.1952,1000,1000,800,0,3250,0,3250,300,1618.1852,1578.3175,297.56674,2960.4502,806.9013,2348.252,698.829,1649.4231,-2305.6714,-3500,731.5695,30187.846,21062.846,21062.846,4506.373,24967.443,24947.318,24641.754,20663.299,12727.246,10817.946,7417.946,10752.241,10752.241,11037.743,9805.659,7656.769,7450.695,3264.2957,2461.8262,9182.443,7628.481,3510.1545,1623.3187,767.58,831.58984,1412.439,85.96613,414.66855,445.307,376.92947,200,200,300,791.8715,3927.905,271.3,976.4313,3405.7434,0,106.88717,3.7446969,0,508.50558,8.883106,116.59371,192.32008,24.043783,102.349556,0,36.671585,970.09015,89.207664,7.606885,81.60078,3926.814,611.10815,27.436424,583.67175,692.7089,665.2725,116.586075,5625,0,18125,0,525.62537,2067.8538,114.60052,0,0,27.26489,19.713263,19.673761,212.58409,3.61E-14,0,197.51268,4170.457,1638.6179,286.04752,2.4069893,2.255737,46.022465,0,255.95357,12479.839,30530.111,18050.273,11125.868,12479.839,0.2368197,0.2368197,1,0.7368197,0.7368197,1,0.42443654,1,0.42443654,0,362.17865,98.96208,-242.36586,-386.362,-266.16196,88.48027,3,171.1633,3.55E-15,9.321154,0,3.66E-15,180.53737,0,564.42773,564.42773,0,4546.262,1556.0184,5.3217688,107.77519,48.2,125.767235,756,756,63.077675,735,1747.1763,2030,469.70596,368,478.5,750,229.27567,2826.3906,25.6,2914.469,2914.469,1690,50.4,4220.3115,550,4434.951,4552,2032.112,965.11206,38,972,972,1067,42,1067,1067,1913.0382,240,2100,2447.65,398.56,0,3,1,2,67.068375,967,524,3424.8,2420,10465.74,6966.3477,700.3158,11.351582,590.1064,775.9918,144.03014,6725.1265,2032.112,6727.8516,11932.623,9715.74,1006.7617,1596.8682,3.7446969,508.50558,126.39334,716.5512
1979-04-30,52.685963,120.30326,208.35269,268.73853,66.47079,309.72186,0,208.30489,1355.0225,1105.0225,250,1567.939,0,0,1567.939,1567.939,0.064683676,0.00946146,2197.6326,0,2197.6326,2193.8513,24.016378,1417.5674,5033.7856,1000,4914.132,4200.192,1478.9977,1504.1666,1000,1186.5447,0,3250,0,3250,540,351.8704,165.72131,2875.7537,1406.8546,411.6396,1404.4424,116.23843,1288.204,-290.01187,-3680,1946.3741,17421.428,10351.851,10351.851,2904.282,13645.244,13690.301,13429.884,12013.954,7066.946,5767.0166,1267.0165,5801.342,5801.342,5946.91,5440.642,5003.1807,5410.59,3115.0698,3194.2498,7250.676,7119.487,2922.5952,2519.445,2564.6086,2685.9312,876.6286,165.85863,992.89954,1122.1595,1333.1051,1536.66,1536.66,540,831.6477,2859.7642,234.8,241.56042,2712.0164,181.23524,181.23524,602.5605,1450.6302,1155.5958,13.616699,177.36589,218.35606,37.543938,146.63261,1462.6161,2116.3372,3202.8362,976.78375,612.9107,363.87302,21.74639,2107.0854,42.966858,2064.1187,2470.9585,2427.9917,1462.6161,6875,0,16875,0,305.21008,1555.3717,296.45465,0,0,597.9356,547.64594,258.12387,766.57056,277.1676,1696.7837,186.24567,4293.866,2374.3562,5563.8623,580.6194,201.48874,260.90598,0,233.14537,11208.333,17716.205,6507.872,125.17105,11208.333,0.7056592,0.7085742,1,0.9556592,0.9585742,1,0.7179667,1,0.7179667,0,333.22147,207.65538,97.33941,590.06287,-25.976824,393.5227,3,292.04468,-1.33E-15,10.609202,37.06792,37.06792,373.19366,0,0,0,0,2466.2593,0,709.99164,108.9776,50.9,135.20853,882.77454,900,68.08998,816.03357,1706.3243,2220,421.0894,330,524,780,236.88922,3094.6997,25.6,3330.725,3330.725,1690,50.4,4448.564,550,4552.1,4552,1897.7056,894.64465,38,972,972,1003.0609,42,1067,1067,2024.4459,240,2300,2447.65,378.38916,0,4,1,2,65.02956,967,524,3424.8,2420,11230.483,6836.132,3083.8691,2678.0874,2970.099,2282.4746,220.33275,3761.7903,1897.7056,3765.5715,12577.898,10450.484,5319.1733,8289.272,2053.1907,2618.212,184.17654,716.5512
1979-05-31,52.685963,120.30326,208.35269,268.73853,66.47079,347.9662,0,359.05585,4199.418,3949.418,250,3895.9194,0,0,3895.9194,3895.9194,6.73E-06,2.5731955,4258.468,0,4258.468,4253.102,33.034462,4318.237,3872.3318,1000,3859.7952,3506.1272,1528.0593,1538.2677,1000,1028.5819,0,6300.5693,3050.5693,3250,2924,1431.3317,1482.2592,2902.346,1283.3387,264.35654,4289.7607,2976.473,1313.288,-4170.716,-4835,4108.121,14007.038,10924.015,10924.015,3030.5906,14537.884,14610.73,14361.419,10291.838,6518.647,4512.2124,12.212318,4629.9565,4629.9565,5297.6953,6199.3267,7574.347,8342.583,6077.4653,6274.401,3363.1028,8270.644,1997.3235,433.54596,85,416.5738,1497.4966,191.91705,1247.9285,1368.9685,1418.4089,1241.9774,1241.9774,2924,3020.1702,4179.95,266.3172,245.79298,1969.9379,189.91672,189.91672,1039.2344,3438.0623,1502.8901,23.455818,173.54865,211.56973,52.459053,175.8146,5190.041,6305.1904,5657.011,3423.7954,2372.5256,1051.2697,30.412634,2791.3252,58.084515,2733.2407,3842.595,3784.5103,5190.041,312.5,7100,29200,0,112.19911,2829.5276,715.4817,0,0,2352.3496,859.3845,340.13135,843.96045,416.084,5408.8027,187.36348,4448.564,2679.5718,8127.593,705.8146,466.57172,661.46497,0,232.14816,6812.9033,14224.765,7411.8613,4026.9617,6812.9033,0.79232043,1,1,1,1,1,0.7936702,1,0.7936702,0,385.33136,115.743195,-97.387245,-980.9274,-446.29294,-37.70689,2,387.20544,5.33E-15,11.783186,307.54877,307.54877,495.0765,0,0,0,9.14E-14,3651.7874,0,2825.6975,101.89295,50.9,134.17093,967,967,66.52033,970,1743.5248,2420,523.607,382,524,842.579,234.99173,3334.8206,25.6,3425.17,3425.17,1717,50.4,4510.1387,550,4552.1,4552,1820.2242,835.37805,38,972,972,984.8462,42,1067,1067,2067.5637,240,2420,2447.65,409.6998,0,3,1,2,68.53294,967,524,3424.8,2420,11722.102,7075.868,6215.1206,8601.801,5992.222,2944.8105,231.63316,8149.0215,1820.2242,8154.387,13146.655,10879.522,11962.201,17954.424,4477.297,6692.931,228.27365,716.5512
1979-06-30,52.685963,120.30326,208.35269,268.73853,66.47079,286.83945,0,686.63477,3517.652,3267.652,250,2955.1638,0,0,2955.1638,2955.1638,1.36E-09,2.9921515,2485.1943,0,2485.1943,2476.8274,34.39624,3738.8967,6416.99,1000,6506.143,6797.916,5301.9644,5804.391,1000,700,0,9545.902,6295.903,3250,783,257.29495,202.1614,2078.6956,405.93054,174.6687,3705.8267,2392.5388,1313.288,-4310,-4310,8900.096,9506.471,7695.5405,7695.5405,2969.843,14108.572,14203.54,13945.862,11008.309,4690.059,4500,0,4632.0693,4632.0693,5369.551,6712.9004,8935.082,10075.427,9170.559,9550.453,2159.7898,3007.5276,636.84796,262.67227,85,114.10132,448.68274,190.62949,597.5188,718.5588,634.2864,363.3,363.3,783,995.191,1409.2642,220.52777,266.75946,1488.8865,249.94228,249.94228,1402.6206,3655.5654,1854.9513,34.937675,291.61826,224.0018,92.61056,127.57048,5626.343,7156.5117,6374.6216,4862.464,2795.7424,2066.7214,0,3050.6807,27.090555,3023.59,5117.402,5090.3115,5626.343,11400,0,0,0,211.97116,3053.722,1108.17,2619.8662,0,2497.9556,1199.5898,374.98956,967.32526,364.70044,10257.783,204.38884,4448.564,2679.5718,10455.95,915.7598,538.3253,682.1409,5144.8374,218.24068,9673.333,9673.333,0,0,9673.333,0.89232045,1,1,1,1,1,0.7936702,1,0.7936702,0,277.06433,210.17355,-227.9892,-1718.1554,-456.2346,173.89168,2,524.7175,2.31E-14,11.477403,317.40887,317.40887,842.02496,43.241272,0,0,0,4851.0425,0,3269.1562,79.440994,50.131454,121.11202,916.386,967,58.63812,1003.2181,1696.2513,2420,511.4377,410,524,733.5763,227.1774,3067.4214,25.6,2937.9436,3425.17,1817.7754,50.4,4120.384,550,4500,4552,1433.283,594.7389,38,972,972,838.54407,42,1067,1067,2035.2139,240,2447,2447.65,359.6553,0,3,1,2,71.36385,967,524,3424.8,2420,10872.981,6747.7812,7913.1445,9824.706,7577.2383,3247.5918,318.7088,5431.991,1433.283,5440.3584,12347.094,10139.405,13531.133,21108.371,5058.186,7481.294,220.18103,716.5512
1979-07-31,52.685963,120.30326,208.35269,268.73853,66.47079,267.46198,0,1754.5267,4275.259,4025.2588,250,7180,623.30676,0,6231.4243,7180,0,3.4787266,2860.1775,0,2860.1775,2850.9097,33.149147,4539.309,7796.788,1000,7791.8677,7898.049,7191.297,7384.544,1000,700,0,11544.112,8294.112,3250,450,76.344315,150.87372,2078.234,121.70843,14.364704,4490.6997,2764.0322,1726.6672,-9801.512,-99999,10559.764,6805.473,9937.693,9937.693,3504.9106,17889.969,17973.568,17724.234,14032.488,6335.164,5927.0996,1427.0997,6144.444,6144.444,7066.555,8415.087,10950.31,12125.466,11167.311,10327.297,-2788.9902,1661.6913,501.6894,154.66039,45,66.60063,540.1094,187.72424,299.12714,420.16714,351.8393,265.0941,250,450,1789.6348,545.5624,106.2,269.02878,700.10455,478.8335,278.8335,1384.9459,4219.3726,2108.7327,41.430172,340.89365,244.60152,66.50396,149.78539,5858.0913,7350.971,7290.2026,5247.3584,2889.6094,2357.749,9.367742,3558.1929,14.994892,3543.198,5915.942,5900.947,5858.0913,0,0,0,623.30676,1332.9453,2846.0227,1250,3609.0083,0,2698.5552,1226.1812,414.89404,1017.4467,370.10162,14422.09,374.213,4448.564,2679.5718,10929.21,909.0912,568.368,619.51746,16640.746,240.86522,6500,6500,0,0,6500,0.89232045,1,1,1,1,1,0.7936702,1,0.7936702,11551.229,242.52281,206.60661,-253.277,-1551.4182,-588.4023,-116.94684,2,568.1039,4.44E-15,11.923975,328.64407,328.64407,936.92896,30.329205,0,0,0,5718.82,0,3364.1187,63.922737,48.676212,109.82384,741.4553,942,52.82713,932.07117,1601.5247,2420,333.69748,328,524,649.949,218.04916,2514.2087,25.6,2598.4727,3425.17,1691.4244,38.3,3668.463,550,4150,4552,1145.4104,310.09967,38,972,972,835.3107,42,1067,1067,1932.6461,240,2270,2447.65,343.791,0,3,1,2,75.24765,967,524,3424.8,2420,9506.722,5975.0044,8805.551,10132.646,8685.8545,3787.7996,355.88855,9705.641,1145.4104,10040.178,10791.995,8856.773,14641.174,23327.03,5604.3184,7966.824,216.28934,716.5512
1979-08-31,52.685963,120.30326,208.35269,268.73853,66.47079,319.02924,0,4039.0513,2740.9531,2490.9531,250,6653.0234,452.2464,0,6200.7773,6653.0234,0,2.2340739,2385.4722,0,2385.4722,2377.7607,30.076748,2972.705,7163.5464,1000,7143.2437,7189.886,6586.0244,6742.56,1000,700,0,8419.277,5169.278,3250,863.25,33.47211,79.627365,1800.1516,641.62964,559.86914,2940.4233,1213.7562,1726.6672,-9169.124,-99999,8973.211,5400.495,8245.848,8245.848,3120.2322,15171.394,15238.397,14989.208,12637.901,5562.316,4680.03,180.02982,4818.8853,4818.8853,5422.2007,6166.338,7902.37,8986.473,8148.519,6260.0312,-2547.368,903.248,196.69061,88.26388,45,69.95928,701.8556,155.02434,237.31287,358.35287,360.63278,282.98386,250,863.25,3135.3003,291.17285,114.4,127.55752,596.6638,443.1252,281.646,1096.9597,3196.5098,1399.6425,39.57497,307.9978,269.3152,153.2274,304.49796,4127.0884,5416.85,5642.344,4131.8447,2102.846,2028.999,4.5212374,3702.2144,40.75839,3661.456,5731.2134,5690.455,4127.0884,0,0,0,452.2464,2266.3135,2495.7434,902.9159,3107.1592,0,1903.9415,1144.8748,336.8106,849.7361,314.09525,12411.635,629.4352,4448.564,2679.5718,8439.737,679.7277,429.0285,435.77884,14582.275,664.2229,4000,4136.871,136.87091,0,4000,0.89232045,1,1,1,1,1,0.7936702,1,0.7936702,9000.387,291.12463,254.7025,-190.38582,-843.8304,-323.2009,-64.265564,2,352.20117,4.80E-14,20.340683,227.8969,227.8969,635.8704,3.544693,0,0,0,5789.249,0,2450.718,42.379276,47.03193,93.680756,678.9414,792,46.778927,865.9277,1527.635,2130,192.40076,243,524,583.2507,208.38135,2056.0789,25.6,2072.8162,3425.17,1582.7611,38.3,3452.667,550,3700,4552,931.8608,101.85465,38,972,972,830.00616,42,1067,1067,1735.9766,240,2150,2447.65,386.0091,0,3,1,2,79.56826,967,524,3424.8,2420,8506.915,5355.7456,7834.059,7326.894,6625.1514,3930.7712,348.7562,9030.784,931.86084,9038.496,9643.699,7923.664,11059.194,17684.346,4293.4697,5526.731,457.72534,716.5512
1979-09-30,52.685963,120.30326,208.35269,268.73853,66.47079,412.59708,0,6040.5815,2619.706,2244.706,375,3102.067,808.0755,812.84186,2293.9912,2289.2249,0,0,4600,0,4600,4596.9756,20.714172,2820.1257,2164.5408,1000,2037.8711,1744.9066,1254.8705,1038.4056,1000,773.3333,812.84186,7364.965,4114.965,3250,863.25,40.761543,59.843052,1322.9867,664.4956,608.7265,2797.025,1070.3577,1726.6672,-6863.6045,-99999,2093.6472,4463.5195,5806.6836,2806.6836,2554.5383,11173.558,12045.521,11788.76,9055.901,6969.4043,4525.034,25.034126,4575.8384,4575.8384,4720.4253,6280.539,7410.8364,8094.917,7137.387,6926.4946,-1086.6885,1030.3373,164.09378,52.280445,65,97.92724,1283.8556,185.57848,171.2729,292.3129,301.97708,250,250,863.25,1329.4945,238.44559,134.7,200.70029,481.56003,320.9423,247.80504,859.22217,2319.373,897.7324,33.36484,277.73407,291.64108,338.41354,911.17914,2104.5112,3335.512,4605.1787,2366.0425,988.0396,1378.0028,0,4128.6045,49.111717,4079.4927,5506.6074,5457.4956,2104.5112,0,0,0,808.0755,461.65356,1403.8724,142.85023,2369.1587,812.84186,1278.2666,752.1385,275.7545,657.7791,183.98901,0,1235.0308,4448.564,2679.5718,6100.288,483.45154,283.42648,299.63776,9444.361,1299.3638,3000,3413.4553,413.45523,0,3000,0.89232045,1,1,1,1,1,0.7936702,1,0.7936702,6907.639,487.05765,277.41806,-92.19117,-261.4844,-387.23868,-232.91283,2,211.93982,4.97E-14,83.820305,133.69705,133.69705,482.7674,0,0,0,0,5560.5396,0,1258.4094,29.511644,46.529945,85.55511,595.28436,752,39.32625,816.81433,1487.9601,2000,168.75063,230,524,547.40753,202.6026,2036.6532,25.6,1600,3238.08,1501.658,30,3200,550,3400,4552,707.1631,94.56916,38,972,972,612.59393,42,1067,1067,1656.47,240,1975,2447.65,462.6131,0,3,1,2,84.44821,967,524,3424.8,2420,8035.815,4924.275,6494.647,3951.773,4595.1084,4371.134,326.8458,7699.0425,707.1631,7702.067,9145.118,7488.407,7940.6904,12535.799,3178.5952,3002.2437,1249.5927,716.5512
1979-10-31,52.685963,120.30326,208.35269,268.73853,66.47079,506.11646,0,8287.067,1359.8802,859.8802,500,4462.3823,0,2619.4302,4462.3823,1842.9523,0,0,4600,0,4600,4598.1465,12.835896,1459.575,2585.6267,1700,2534.6985,2403.439,1889.0322,1735.8679,1700,800,2619.4302,4579.7,79.7,4500,373,1573.7849,1659.7797,993.748,511.40317,418.08215,1454.5155,0,1454.5155,-5025.962,-99999,2738.8728,4507.75,4000,0,2094.9011,7925.237,10560.512,10267.335,8874.581,6372.3755,4500,0,4517.5444,4517.5444,4617.4214,5716.288,5908.004,5911.65,4581.8696,3107.1887,601.9268,2930.9985,1722.2451,59.579918,115,151.72511,1204.6791,53.072704,573.18756,612.88446,759.0596,774.2,774.2,373,1597.4788,520.8387,168.4,88.06207,503.84036,150.03827,213.68326,123.82673,2168.0222,673.9738,20.666311,209.6896,198.86441,325.90338,1010.53015,1116.6974,1587.0938,4164.9326,1644.509,825.6886,818.8205,0,4111.885,19.629972,4092.255,4930.705,4911.075,1116.6974,0,0,0,0,1222.4829,501.65237,0,1769.5187,2619.4302,727.09,97.35893,103.651596,155.20688,62.01305,0,1659.1047,4448.564,2679.5718,1358.1052,46.58113,91.817154,123.83296,8403.971,1752.7316,4000,4131.4136,131.41356,0,4000,0.89232045,1,1,1,1,1,0.7936702,1,0.7936702,5738.5166,666.60846,267.8053,-115.03105,-182.99754,-207.26558,65.41432,0,181.29071,-1.42E-14,108.61252,58.243084,58.243084,474.19373,13.921505,0,0,0,4918.0767,0,1134.5625,27.19543,46.14191,85.05211,580.9969,712,39.038837,674.6,1476.959,1970,204.31264,231,439,527.49457,201.66985,1949.9769,25.6,2932.3237,2932.3237,1488.9865,28.4,3240.6099,550,3250,4552,706.9961,115.39934,38,972,972,591.59674,42,1067,1067,1567.276,240,1850,2447.65,539.1774,0,3,1,2,87.52125,967,524,3424.8,2420,7866.3545,4792.5635,5756.3936,2066.2126,3660.8167,4291.119,229.31958,9060.529,706.9961,9062.383,9020.132,7338.86,5752.0264,9412.843,2291.8489,1790.6711,1336.4336,716.5512
1979-11-30,52.685963,120.30326,208.35269,268.73853,66.47079,526.76013,0,10401.981,1388.6509,888.65094,500,3649.0742,0,1453.4592,3649.0742,2195.615,0.08994014,810.1058,3757.2449,0,3757.2449,3755.884,168.23047,1487.7177,2613.53,1700,2582.4143,2388.2852,1880.7367,1767.6648,1700,800,1453.4592,3673.2615,0,3673.2615,300,233.04948,86.296364,293.1844,364.88867,279.96753,1481.9055,27.390057,1454.5155,-4723.7295,-99999,2786.462,5191.9556,5578.6875,1078.6874,2331.0662,9594.248,11125.47,10845.06,8986.827,6988.4224,4527.876,27.875795,5033.891,5033.891,5168.423,5397.7183,5446.447,5359.4316,3686.2864,3473.927,-226.56075,1729.5345,703.9721,336.62173,313.33,360.3404,1493.1061,49.12095,418.81314,418.8478,376.49396,200,200,300,284.13437,477.25693,221.9,126.39304,496.45676,150.5511,158.89264,48.910152,175.947,218.35982,12.390333,138.73445,258.3781,195.31268,431.34616,0,256.61316,1167.3949,486.35703,9.9812,476.37582,0,3890.4238,27.443472,3862.9805,4366.8,4339.356,1254.7157,0,0,0,0,0,139.61328,0,1385.0789,1453.4592,719.50476,17.016006,0.41753465,77.64464,16.150877,0,3030.7847,4448.564,2679.5718,1040.839,4.8153987,77.69012,112.01893,10273.32,1722.7358,4500,6187.479,1687.479,0,4500,0.89232045,1,1,1,1,1,0.7936702,1,0.7936702,7658.91,710.6547,185.40198,-125.92524,-450.60965,-220.21643,-20.76638,0,82.51585,-1.60E-14,46.62934,0,2.12E-13,142.6232,0,0.6019485,0.6019485,0,4488.642,0,1276.179,28.878521,48.196968,85.487564,550.9048,567,25,674.6,1496.7924,1970,239.69463,251,439,499.89438,152.1,1892.8557,25.6,2991.6594,2991.6594,1487.0574,28.4,3246.5427,550,3252.1,4552,814.1886,264.21115,38,972,972,549.9775,42,1067,1067,1597.3807,240,1850,2447.65,556.0784,0,3,1,2,87.06532,967,524,3424.8,2420,7787.5786,4889.433,4376.781,58.891354,870.6826,4121.3584,166.17792,7404.958,814.1886,7406.3193,9024.171,7287.684,1424.008,2294.6907,224.85716,218.35982,626.6588,716.5512
1979-12-31,52.685963,120.30326,208.35269,268.73853,66.47079,554.2812,0,9844.576,1893.4734,1393.4734,500,6202.6475,0,1268.8325,6202.6475,4933.815,0.28849468,44.56112,4600,0,4600,4598.608,0.8853039,1874.9604,2937.243,1700,3216.736,2773.8936,2164.9243,1758.3866,1700,800,1268.8325,3250,0,3250,300,168.35516,70.24614,268.66028,733.9841,294.3502,1908.1102,453.5947,1454.5155,-7793.37,-99999,2543.3809,10265.687,14323.844,9823.844,3172.8245,15543.069,16833.064,16440.234,13835.78,13308.753,9044.65,4544.6504,10167.315,10167.315,10527.646,11207.743,8860.926,8662.086,3263.9758,2996.0535,-3984.568,1564.5958,674.3941,360.64532,155,231.49762,2799.13,474.2511,315.8452,320.69504,293.71844,200,200,300,297.6371,431.58008,269.7,1585.579,598.2282,39.93903,140.7197,39.302708,680.6633,131.64192,9.857336,118.283844,244.97977,93.11575,369.9035,0,142.2758,1512.4607,462.88358,7.8233743,455.0602,0,3429.602,27.436424,3402.1658,3884.6624,3857.2258,962.1588,0,0,0,0,1.3073305,86.319305,0,0,1268.8325,481.40747,5.380591,3.7619717,76.27777,6.3751473,0,2556.0244,4448.564,2679.5718,788.99915,3.4764173,58.022587,85.664055,11021.802,1775.2935,4500,8950.194,4450.194,0,4500,0.89232045,1,1,1,1,1,0.7936702,1,0.7936702,10263.967,760.99615,31.716524,-300.23148,-2303.8489,-809.86835,-692.801,0,39.58429,2.13E-14,40.16776,0,-1.49E-12,192.02222,241.31723,263.8528,263.8528,0,3998.8794,0,998.8691,38,48.2,86.294106,567,567,24.692204,671.20605,1523.26,1970,260.67365,289,439,523.0774,152.1,1905.266,25.6,2836.9534,2836.9534,1476.6602,38.3,3339.4158,550,3359.16,4552,1150.2393,456.1101,38,972,972,694.1291,42,1067,1067,1641.876,240,1850,2447.65,578.6099,0,3,1,2,83.81979,967,524,3424.8,2420,7976.6357,5258.8315,3892.4856,47.126083,1267.3655,3647.1455,145.72028,10801.256,1150.2393,10802.647,9237.491,7453.5576,1654.7365,2922.102,719.96606,131.64192,463.01926,716.5512
